x,y,z,w
-1200,-1400,1.0,0.032840168203386554
-1100,-1400,1.0,0.032840168203386554
-1000,-1400,1.0,0.032840168203386554
-900,-1400,1.0,0.032840168203386554
-800,-1400,1.0,0.032840168203386554
-700,-1400,1.0,0.032840168203386554
-600,-1400,1.0,0.032840168203386554
-500,-1400,1.0,0.032840168203386554
-400,-1400,1.0,0.032840168203386554
-300,-1400,1.0,0.032840168203386554
-200,-1400,1.0,0.032840168203386554
-100,-1400,1.0,0.032840168203386554
0,-1400,1.0,0.032840168203386554
100,-1400,1.0,0.032840168203386554
200,-1400,1.0,0.032840168203386554
300,-1400,1.0,0.032840168203386554
400,-1400,1.0,0.032840168203386554
500,-1400,1.0,0.032840168203386554
600,-1400,1.0,0.032840168203386554
700,-1400,1.0,0.032840168203386554
800,-1400,1.0,0.032840168203386554
900,-1400,1.0,0.032840168203386554
1000,-1400,1.0,0.032840168203386554
1100,-1400,1.0,0.032840168203386554
1200,-1400,1.0,0.032840168203386554
-1200,-1300,1.0,0.032840168203386554
-1100,-1300,1.0,0.032840168203386554
-1000,-1300,1.0,0.032840168203386554
-900,-1300,1.0,0.032840168203386554
-800,-1300,1.0,0.032840168203386554
-700,-1300,1.0,0.032840168203386554
-600,-1300,1.0,0.032840168203386554
-500,-1300,1.0,0.032840168203386554
-400,-1300,1.0,0.032840168203386554
-300,-1300,1.0,0.032840168203386554
-200,-1300,1.0,0.032840168203386554
-100,-1300,1.0,0.032840168203386554
0,-1300,1.0,0.032840168203386554
100,-1300,1.0,0.032840168203386554
200,-1300,1.0,0.032840168203386554
300,-1300,1.0,0.032840168203386554
400,-1300,1.0,0.032840168203386554
500,-1300,1.0,0.032840168203386554
600,-1300,1.0,0.032840168203386554
700,-1300,1.0,0.032840168203386554
800,-1300,1.0,0.032840168203386554
900,-1300,1.0,0.032840168203386554
1000,-1300,1.0,0.032840168203386554
1100,-1300,1.0,0.032840168203386554
1200,-1300,1.0,0.032840168203386554
-1200,-1200,1.0,0.032840168203386554
-1100,-1200,1.0,0.032840168203386554
-1000,-1200,1.0,0.032840168203386554
-900,-1200,1.0,0.032840168203386554
-800,-1200,1.0,0.032840168203386554
-700,-1200,1.0,0.032840168203386554
-600,-1200,1.0,0.032840168203386554
-500,-1200,1.0,0.032840168203386554
-400,-1200,1.0,0.032840168203386554
-300,-1200,1.0,0.032840168203386554
-200,-1200,1.0,0.032840168203386554
-100,-1200,1.0,0.032840168203386554
0,-1200,1.0,0.032840168203386554
100,-1200,1.0,0.032840168203386554
200,-1200,1.0,0.032840168203386554
300,-1200,1.0,0.032840168203386554
400,-1200,1.0,0.032840168203386554
500,-1200,1.0,0.032840168203386554
600,-1200,1.0,0.032840168203386554
700,-1200,1.0,0.032840168203386554
800,-1200,1.0,0.032840168203386554
900,-1200,1.0,0.032840168203386554
1000,-1200,1.0,0.032840168203386554
1100,-1200,1.0,0.032840168203386554
1200,-1200,1.0,0.032840168203386554
-1200,-1100,1.0,0.032840168203386554
-1100,-1100,1.0,0.032840168203386554
-1000,-1100,1.0,0.032840168203386554
-900,-1100,1.0,0.032840168203386554
-800,-1100,1.0,0.032840168203386554
-700,-1100,1.0,0.032840168203386554
-600,-1100,1.0,0.032840168203386554
-500,-1100,1.0,0.032840168203386554
-400,-1100,1.0003496633479272,0.034363577253416266
-300,-1100,1.0045542648563235,0.053051548921954045
-200,-1100,1.0080283335627165,0.06933826120613143
-100,-1100,1.0096968003363698,0.08242831369727638
0,-1100,1.008555939494044,0.07774342041000659
100,-1100,1.004431924873552,0.05609283236016221
200,-1100,1.0005170113372799,0.035093156383454394
300,-1100,1.0,0.032840168203386554
400,-1100,1.0,0.032840168203386554
500,-1100,1.0,0.032840168203386554
600,-1100,1.0,0.032840168203386554
700,-1100,1.0,0.032840168203386554
800,-1100,1.0,0.032840168203386554
900,-1100,1.0,0.032840168203386554
1000,-1100,1.0,0.032840168203386554
1100,-1100,1.0,0.032840168203386554
1200,-1100,1.0,0.032840168203386554
-1200,-1000,1.0,0.032840168203386554
-1100,-1000,1.0,0.032840168203386554
-1000,-1000,1.0,0.032840168203386554
-900,-1000,1.0,0.032840168203386554
-800,-1000,1.0,0.032840168203386554
-700,-1000,1.0002949616195511,0.034124774104206085
-600,-1000,1.0092347484078428,0.0759024713556035
-500,-1000,1.016916423593556,0.12097817529018859
-400,-1000,1.025364918144329,0.1961681719513153
-300,-1000,1.0312437633531948,0.2592618676600618
-200,-1000,1.0344368226482648,0.32379275750472225
-100,-1000,1.0352251826609444,0.34882443313787537
0,-1000,1.03502879288933,0.3345521447277766
100,-1000,1.0321700906039815,0.29874877783057296
200,-1000,1.0267757059227371,0.2182047160024863
300,-1000,1.0180629347204246,0.1317908579064514
400,-1000,1.0086204079186325,0.07244891640419024
500,-1000,1.0003151588725663,0.03421269060770677
600,-1000,1.0,0.032840168203386554
700,-1000,1.0,0.032840168203386554
800,-1000,1.0,0.032840168203386554
900,-1000,1.0,0.032840168203386554
1000,-1000,1.0,0.032840168203386554
1100,-1000,1.0,0.032840168203386554
1200,-1000,1.0,0.032840168203386554
-1200,-900,1.0,0.032840168203386554
-1100,-900,1.0,0.032840168203386554
-1000,-900,1.0,0.032840168203386554
-900,-900,1.0,0.032840168203386554
-800,-900,1.0058156814295032,0.059199676929317005
-700,-900,1.0159669017274378,0.11677950324282882
-600,-900,1.0259305038809179,0.20236205087690057
-500,-900,1.0319721861446556,0.2797777420778331
-400,-900,1.0336186944652033,0.3676195732328654
-300,-900,1.0329754095870392,0.39071440201113206
-200,-900,1.0319853573264663,0.43350107694997053
-100,-900,1.0334299825637243,0.461453314454301
0,-900,1.03527784556972,0.4466904377584335
100,-900,1.0337271644789607,0.40734625957705617
200,-900,1.0324363132023537,0.3571532614360159
300,-900,1.0327376497803682,0.31558910651962313
400,-900,1.0283306912346428,0.2252909933095909
500,-900,1.0180593707043837,0.13077943362657146
600,-900,1.0060916381312963,0.0612408220706162
700,-900,1.0,0.032840168203386554
800,-900,1.0,0.032840168203386554
900,-900,1.0,0.032840168203386554
1000,-900,1.0,0.032840168203386554
1100,-900,1.0,0.032840168203386554
1200,-900,1.0,0.032840168203386554
-1200,-800,1.0,0.032840168203386554
-1100,-800,1.0,0.032840168203386554
-1000,-800,1.0,0.032840168203386554
-900,-800,1.0077777001550383,0.07182117618169431
-800,-800,1.0200114167344687,0.17523381214129807
-700,-800,1.0280077950654074,0.2636745491785353
-600,-800,1.027940559954402,0.35052118478639904
-500,-800,1.0262947688465682,0.37284043484917107
-400,-800,1.0266623604545482,0.4187652237221171
-300,-800,1.022922279602487,0.4302084102230679
-200,-800,1.0224889857452764,0.4475139460986924
-100,-800,1.0252256422397021,0.5473812540426513
0,-800,1.024264158501855,0.5250968744375395
100,-800,1.0294699373321787,0.5343717833557549
200,-800,1.0353888137830562,0.5328050421143055
300,-800,1.0346322333161326,0.45955291071788795
400,-800,1.030237016897391,0.3357420448745393
500,-800,1.0288519762212636,0.2596383163764988
600,-800,1.0218763155074129,0.17556494848827103
700,-800,1.0079544780009666,0.0703107639206487
800,-800,1.0,0.032840168203386554
900,-800,1.0,0.032840168203386554
1000,-800,1.0,0.032840168203386554
1100,-800,1.0,0.032840168203386554
1200,-800,1.0,0.032840168203386554
-1200,-700,1.0,0.032840168203386554
-1100,-700,1.0,0.032840168203386554
-1000,-700,1.0045872990775462,0.05325293397440641
-900,-700,1.0201191639996658,0.1620639125675305
-800,-700,1.026720313524879,0.30292764021976193
-700,-700,1.0242143310149383,0.31843218327803124
-600,-700,1.0243974053944984,0.42143497309323386
-500,-700,1.0226109427440395,0.44013663950973236
-400,-700,1.0200492126321055,0.42066791106444607
-300,-700,1.0183019594273208,0.4516772959480553
-200,-700,1.0208821772304904,0.5146310025288036
-100,-700,1.0233703956137978,0.5312525434276507
0,-700,1.0213796380756335,0.45948637649106816
100,-700,1.0241552051252758,0.5238452422187703
200,-700,1.0211800465161014,0.4544988258092053
300,-700,1.02129452074052,0.4813351060409048
400,-700,1.0358175162712744,0.4867942776401082
500,-700,1.0295416260872334,0.36309396323379306
600,-700,1.0274428217169327,0.2791845547915043
700,-700,1.0212426193076218,0.16485614267269885
800,-700,1.005549618915405,0.05764799212830285
900,-700,1.0,0.032840168203386554
1000,-700,1.0,0.032840168203386554
1100,-700,1.0,0.032840168203386554
1200,-700,1.0,0.032840168203386554
-1200,-600,1.0,0.032840168203386554
-1100,-600,1.0,0.032840168203386554
-1000,-600,1.0158643965916592,0.11786693024553366
-900,-600,1.025123889601638,0.247111283188983
-800,-600,1.0237762123822707,0.3689917722338949
-700,-600,1.0239438059043842,0.4363794146427308
-600,-600,1.0212762185527453,0.49809119928845197
-500,-600,1.01845719716454,0.5023579211486655
-400,-600,1.01835744215099,0.510872731821234
-300,-600,1.019050430419688,0.48144560728884006
-200,-600,1.0188518906187496,0.4925433456044159
-100,-600,1.0189806715403442,0.4531569617534852
0,-600,1.0187202694458468,0.43746393522428917
100,-600,1.0183971054954493,0.4648238500591878
200,-600,1.0189558443311255,0.4203219411576293
300,-600,1.0186550069161489,0.48789808917770894
400,-600,1.0216121133257754,0.44216059184120504
500,-600,1.0287848593874096,0.4910850154189548
600,-600,1.0292603611053779,0.410421302679858
700,-600,1.0259279037159605,0.25964552849415384
800,-600,1.017674238480436,0.1300544349991653
900,-600,1.0000724354376564,0.03315543715369292
1000,-600,1.0,0.032840168203386554
1100,-600,1.0,0.032840168203386554
1200,-600,1.0,0.032840168203386554
-1200,-500,1.0,0.032840168203386554
-1100,-500,1.0079433970819673,0.06903026542817929
-1000,-500,1.0235917952069025,0.19945710278215895
-900,-500,1.0229181702267203,0.273621460190266
-800,-500,1.0239343822016522,0.4144921207306681
-700,-500,1.021839971972649,0.5027910955113508
-600,-500,1.0188088750204312,0.5138491056394922
-500,-500,1.0196710278794219,0.48980261855674556
-400,-500,1.0188358394891548,0.4678114913942768
-300,-500,1.0186054642069617,0.46503942142808063
-200,-500,1.0180004859792815,0.44522283331356577
-100,-500,1.0188832016119869,0.4975689984914636
0,-500,1.0189187284458803,0.45033509129160515
100,-500,1.019351709329374,0.46864974497424045
200,-500,1.0203362484195413,0.4801494583909046
300,-500,1.019473702579627,0.4839061158236191
400,-500,1.0193766865136409,0.48198239645535446
500,-500,1.021460745333827,0.5213026281587103
600,-500,1.0277904348602622,0.46819485386154713
700,-500,1.0272608713061082,0.36298392425027326
800,-500,1.0240712187461933,0.20763225223689588
900,-500,1.0087537036968452,0.07420445747105672
1000,-500,1.0,0.032840168203386554
1100,-500,1.0,0.032840168203386554
1200,-500,1.0,0.032840168203386554
-1200,-400,1.0,0.032840168203386554
-1100,-400,1.0165324241091598,0.13566020790408062
-1000,-400,1.0235504415215717,0.2558143374419912
-900,-400,1.0233428790021524,0.3870639424832134
-800,-400,1.0243032586238818,0.4823471008140289
-700,-400,1.0193649299507432,0.5105686595133783
-600,-400,1.020112452313704,0.5127482779767703
-500,-400,1.0192548016330116,0.47737890805830174
-400,-400,1.0188570175066431,0.43822800192751754
-300,-400,1.0190523679630437,0.4777747285120051
-200,-400,1.0185444767482084,0.46934845830375593
-100,-400,1.019472104967088,0.4557583244861655
0,-400,1.0196560926805058,0.47030247549325555
