x,y,z
-1000,-1000,-6.650887377409963e-16
-900,-1000,-6.650887377409963e-16
-800,-1000,-6.650887377409963e-16
-700,-1000,0.001284605900818865
-600,-1000,0.04238717487784416
-500,-1000,0.0860161753673461
-400,-1000,0.14432796516916954
-300,-1000,0.19416021263132063
-200,-1000,0.2244042308275107
-100,-1000,0.2327988168422078
0,-1000,0.22807477116965771
100,-1000,0.20018004977224185
200,-1000,0.1521868154585258
300,-1000,0.09181361937398738
400,-1000,0.03960874820080302
500,-1000,0.001372522404319552
600,-1000,-6.650887377409963e-16
700,-1000,-6.650887377409963e-16
800,-1000,-6.650887377409963e-16
900,-1000,-6.650887377409963e-16
1000,-1000,-6.650887377409963e-16
-1000,-900,-6.650887377409963e-16
-900,-900,-6.650887377409963e-16
-800,-900,0.02597372114057429
-700,-900,0.08032257642673377
-600,-900,0.1516792068508213
-500,-900,0.2161227904941751
-400,-900,0.2503883707329619
-300,-900,0.2604628685054803
-200,-900,0.26139159043324667
-100,-900,0.27579303900196506
0,-900,0.28726371811027174
100,-900,0.2673053660930085
200,-900,0.2421885610000759
300,-900,0.22164982948555811
400,-900,0.16554214102765735
500,-900,0.09094686543861574
600,-900,0.027243291111162478
700,-900,-6.650887377409963e-16
800,-900,-6.650887377409963e-16
900,-900,-6.650887377409963e-16
1000,-900,-6.650887377409963e-16
-1000,-800,-6.650887377409963e-16
-900,-800,0.035171355572921496
-800,-800,0.10579204677730747
-700,-800,0.1783190459186302
-600,-800,0.21158943061024843
-500,-800,0.22112946690811938
-400,-800,0.23826485722391105
-300,-800,0.21223842449720856
-200,-800,0.21252108316902146
-100,-800,0.2390405264472652
0,-800,0.22943891371071562
100,-800,0.2726149066920459
200,-800,0.3134365763915324
300,-800,0.28821499937187506
400,-800,0.2271910630451346
500,-800,0.18339704482061747
600,-800,0.11557497896549028
700,-800,0.03607211572034778
800,-800,-6.650887377409963e-16
900,-800,-6.650887377409963e-16
1000,-800,-6.650887377409963e-16
-1000,-700,0.020412765771019192
-900,-700,0.10588359545013534
-800,-700,0.17499083222624315
-700,-700,0.1938710166563731
-600,-700,0.21918583147061124
-500,-700,0.21261841104632434
-400,-700,0.19083495708890502
-300,-700,0.17395845794026238
-200,-700,0.19900853425983248
-100,-700,0.22247780479873974
0,-700,0.20452900601924998
100,-700,0.23001977252238506
200,-700,0.20156684016050352
300,-700,0.19990306252406523
400,-700,0.3157457069831119
500,-700,0.23419268627688553
600,-700,0.17921734673625947
700,-700,0.11214791382350323
800,-700,0.024759600476746194
900,-700,-6.650887377409963e-16
1000,-700,-6.650887377409963e-16
-1000,-600,0.07904705446913615
-900,-600,0.1594410544169449
-800,-600,0.19003455607711084
-700,-600,0.21816831167602424
-600,-600,0.20214389787261156
-500,-600,0.17593340048974027
-400,-600,0.17485174497659067
-300,-600,0.1811099720895808
-200,-600,0.1788015918140529
-100,-600,0.17987468097728054
0,-600,0.17734665579834108
100,-600,0.17447046863100218
200,-600,0.17983160513664243
