x,y,mi,mis,sc,sc_masked,nmi,masked_mi,mis_masked
-1200,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1000,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-900,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-800,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-700,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-600,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-500,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-400,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-300,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-200,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-100,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
0,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
100,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
200,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
300,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
400,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
500,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
600,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
700,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
800,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
900,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1000,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1100,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1200,-1200,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1200,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1000,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-900,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-800,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-700,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-600,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-500,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-400,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-300,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-200,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-100,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
0,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
100,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
200,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
300,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
400,-1100,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
