x,y,mi,mis,sc,sc_masked,mean_intensity,p-cor
0,-700,0.254998162,0.397243558,0.316055298,0.71122698,69.47953184,0.193836177
0,0,0.44299053,0.635768431,0.330566406,0.963889505,48.61099401,0.175057178
300,-800,0.268258779,0.369922857,0.304168701,0.508320391,95.20928556,0.169894691
-900,-900,0.016344463,0.016344463,0.279708862,0,163.3287109,0.146944434
-800,-900,0.018220656,0.018220656,0.279708862,0,163.1015642,0.142066999
-700,-900,0.018220656,0.018220656,0.279708862,0,163.1015642,0.142066999
700,-900,0.018220656,0.018220656,0.279708862,0,163.1015642,0.142066999
600,-900,0.020055774,0.020055774,0.279708862,0,163.0998447,0.1411545
800,-900,0.016632625,0.016632625,0.279708862,0,163.1356778,0.140680334
-500,-800,0.259571548,0.314330812,0.291671753,0.273796317,125.4074773,0.136172272
100,-500,0.24134716,0.409030763,0.317214966,0.838418016,57.50987353,0.134282211
-1000,900,0.017239923,0.017239923,0.279708862,0,164.0609053,0.132516798
-900,-300,0.279104313,0.355618624,0.299240112,0.382571555,112.4693255,0.132259972
700,400,0.241987505,0.385508694,0.311157227,0.717605946,69.4978367,0.131155648
-100,-900,0.261819451,0.322436269,0.297470093,0.303084091,122.4804748,0.129355487
500,-400,0.24500359,0.399119409,0.318878174,0.770579099,64.17811183,0.118792531
-1000,-100,0.247939573,0.306892314,0.292938232,0.294763701,125.3041935,0.112533542
-300,700,0.250885381,0.408074199,0.320541382,0.785944087,64.10799867,0.1121231
-500,0,0.248080553,0.401608399,0.317871094,0.767639228,65.31944753,0.111277105
-800,-800,0.005942547,0.005942547,0.279708862,0,160.9667739,0.107544414
-1000,0,0.254722859,0.316360312,0.293487549,0.308187264,124.2968715,0.107280292
-700,-200,0.251153094,0.40888551,0.315414429,0.788662081,63.42189927,0.105808457
0,-900,0.274211522,0.338400561,0.300064087,0.320945196,122.3820169,0.099487889
-600,-700,0.272252297,0.344373442,0.297790527,0.360605724,114.0028844,0.099028171
-100,200,0.244982471,0.400840026,0.318450928,0.779287775,65.44497448,0.096930479
-200,-300,0.247636267,0.398945342,0.31678772,0.756545374,66.2471156,0.096405271
200,-100,0.258101489,0.4012233,0.317214966,0.715609053,70.8061349,0.093763567
-400,-800,0.265204704,0.347876104,0.302139282,0.413357,107.7015753,0.092885647
100,-900,0.275153109,0.322268707,0.296432495,0.23557799,131.6206457,0.092698034
0,-800,0.264702186,0.422290382,0.316772461,0.787940981,62.54504105,0.091438921
-800,-400,0.285332551,0.40378163,0.301803589,0.592245396,85.07388507,0.089174701
-900,-400,0.266400952,0.319440668,0.288497925,0.26519858,126.0225205,0.087171266
-800,0,0.237449374,0.395658825,0.318969727,0.79104726,63.32776792,0.086530358
-300,-100,0.245974869,0.40167711,0.316360474,0.778511205,64.38745285,0.086204233
-1000,-900,0.022642251,0.022642251,0.279708862,0,164.4275571,0.084784018
-400,-400,0.237058976,0.396211405,0.31690979,0.795762148,64.04276681,0.081416813
500,600,0.237640843,0.392921518,0.316802979,0.776403373,64.13523408,0.081402253
-1000,-800,0.023822588,0.023822588,0.279708862,0,163.6745618,0.080234052
-1000,-700,0.023822588,0.023822588,0.279708862,0,163.6745618,0.080234052
-1000,-600,0.023822588,0.023822588,0.279708862,0,163.6745618,0.080234052
-1000,600,0.023822588,0.023822588,0.279708862,0,163.6745618,0.080234052
-1000,700,0.023822588,0.023822588,0.279708862,0,163.6745618,0.080234052
-1000,800,0.023822588,0.023822588,0.279708862,0,163.6745618,0.080234052
800,0,0.250990158,0.388332071,0.316314697,0.686709563,74.40786554,0.078374555
300,-200,0.253230688,0.398637832,0.315002441,0.727035722,71.24001553,0.077836724
-800,300,0.245268466,0.400504765,0.312942505,0.776181495,64.81051697,0.077061723
400,-300,0.244204665,0.391253699,0.317443848,0.735245174,69.28300422,0.07527612
-800,100,0.236090781,0.394988052,0.321136475,0.794486355,62.970213,0.075134596
