x,y,mi,mis,sc,sc_masked,mean_intensity,p-cor
-1200,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1100,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1000,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-900,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-800,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-700,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-600,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-500,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-400,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-300,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-200,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-100,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
0,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
100,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
200,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
300,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
400,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
500,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
600,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
700,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
800,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
900,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1000,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1100,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
1200,-1400,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1200,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1100,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-1000,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-900,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-800,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-700,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-600,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-500,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-400,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-300,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-200,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
-100,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
0,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
100,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
200,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
300,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
400,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
500,-1300,0.0,-0.2,0.2797088623046875,-1.0,165.93826270246282,
